bms_rank,symbol,company_name,bms,previous_bms,bms_change_vs_previous_quarter,bms_change_display,bms_change_reliability,lifecycle_state,reversal_warning,evidence_count,previous_evidence_count,evidence_strength,period,q1_fy26_bms,bms_change_rank,state,earnings,economics,execution,balance_sheet,management_delivery,q1_fy26_evidence_count
1,SAMMAANCAP,Sammaan Capital Ltd.,0.4475,0.4475,0.0,+0.0000,Reliable change,Watch,,2,2,Limited,Q3 FY26,0.0,285,improving,0.9,0.89,0.0,0.0,0.0,0
2,HINDCOPPER,Hindustan Copper Ltd.,0.4425,0.4275,0.015,+0.0150,Reliable change,Established,,7,4,High,Q3 FY26,0.19,146,improving,0.91,0.86,0.0,0.0,0.0,1
3,TATASTEEL,Tata Steel Ltd.,0.435,0.4225,0.0125,+0.0125,Reliable change,Building,,5,3,Moderate,Q3 FY26,0.1975,159,improving,0.88,0.86,0.0,0.0,0.0,1
4,FORCEMOT,Force Motors Ltd.,0.4325,0.4175,0.015,+0.0150,Reliable change,Established,,7,4,High,Q3 FY26,0.19,146,improving,0.83,0.9,0.0,0.0,0.0,2
5,SUZLON,Suzlon Energy Ltd.,0.43,0.4325,-0.0025,-0.0025,Reliable change,Established,,6,4,Moderate,Q3 FY26,0.1925,331,improving,0.83,0.89,0.0,0.0,0.0,1
6,HBLENGINE,HBL Engineering Ltd.,0.4275,0.42,0.0075,+0.0075,Reliable change,Established,,8,5,High,Q3 FY26,0.3925,195,improving,0.87,0.84,0.0,0.0,0.0,2
7,IOC,Indian Oil Corporation Ltd.,0.425,0.4325,-0.0075,-0.0075,Reliable change,Established,,6,3,Moderate,Q3 FY26,0.1975,367,improving,0.82,0.88,0.0,0.0,0.0,1
8,ATHERENERG,Ather Energy Ltd.,0.4225,0.4025,0.02,+0.0200,Reliable change,Established,,8,5,High,Q3 FY26,0.3875,139,improving,0.85,0.84,0.0,0.0,0.0,2
9,HOMEFIRST,Home First Finance Company India Ltd.,0.4225,0.41,0.0125,+0.0125,Reliable change,Established,,8,5,High,Q3 FY26,0.195,159,improving,0.8,0.89,0.0,0.0,0.0,2
10,NYKAA,FSN E-Commerce Ventures Ltd.,0.4225,0.2,0.2225,+0.2225,Reliable change,Building,,7,4,High,Q3 FY26,0.19,20,improving,0.83,0.86,0.0,0.0,0.0,2
11,KAJARIACER,Kajaria Ceramics Ltd.,0.4225,0.4275,-0.005,-0.0050,Reliable change,Watch,,4,2,Moderate,Q3 FY26,0.0,356,improving,0.81,0.88,0.0,0.0,0.0,0
12,MRF,MRF Ltd.,0.4225,0.0,0.4225,New signal,New signal,Emerging,,3,0,Limited,Q3 FY26,0.0,2,improving,0.87,0.82,0.0,0.0,0.0,0
13,POLICYBZR,PB Fintech Ltd.,0.42,0.41,0.01,+0.0100,Reliable change,Established,,9,6,High,Q3 FY26,0.385,178,improving,0.84,0.84,0.0,0.0,0.0,3
14,GMRAIRPORT,GMR Airports Ltd.,0.42,0.41,0.01,+0.0100,Reliable change,Established,,7,5,High,Q3 FY26,0.19,178,improving,0.83,0.85,0.0,0.0,0.0,2
15,LLOYDSME,Lloyds Metals And Energy Ltd.,0.42,0.405,0.015,+0.0150,Reliable change,Established,,6,3,Moderate,Q3 FY26,0.19,146,improving,0.88,0.8,0.0,0.0,0.0,1
16,HINDZINC,Hindustan Zinc Ltd.,0.42,0.3875,0.0325,+0.0325,Reliable change,Building,,5,2,Moderate,Q3 FY26,0.0,130,improving,0.83,0.85,0.0,0.0,0.0,0
17,AEGISLOG,Aegis Logistics Ltd.,0.42,0.2175,0.2025,+0.2025,Reliable change,Building,,4,2,Moderate,Q3 FY26,0.0,36,improving,0.89,0.79,0.0,0.0,0.0,0
18,BAYERCROP,Bayer Cropscience Ltd.,0.42,0.3825,0.0375,+0.0375,Reliable change,Building,,4,2,Moderate,Q3 FY26,0.0,125,improving,0.86,0.82,0.0,0.0,0.0,0
19,LENSKART,Lenskart Solutions Ltd.,0.42,0.19,0.23,+0.2300 (limited history),Limited history,Building,,4,1,Moderate,Q3 FY26,0.0,17,improving,0.86,0.82,0.0,0.0,0.0,0
20,BSE,BSE Ltd.,0.4175,0.3925,0.025,+0.0250,Reliable change,Established,,9,6,High,Q3 FY26,0.39,134,improving,0.83,0.84,0.0,0.0,0.0,3
21,JSWENERGY,JSW Energy Ltd.,0.4175,0.4,0.0175,+0.0175,Reliable change,Established,,8,5,High,Q3 FY26,0.39,143,improving,0.82,0.85,0.0,0.0,0.0,3
22,CHOICEIN,Choice International Ltd.,0.4175,0.3825,0.035,+0.0350,Reliable change,Established,,7,4,High,Q3 FY26,0.3925,126,improving,0.86,0.81,0.0,0.0,0.0,2
23,RRKABEL,R R Kabel Ltd.,0.4175,0.4175,0.0,+0.0000,Reliable change,Established,,7,4,High,Q3 FY26,0.1975,285,improving,0.85,0.82,0.0,0.0,0.0,1
24,BAJAJ-AUTO,Bajaj Auto Ltd.,0.4175,0.415,0.0025,+0.0025,Reliable change,Building,,6,3,Moderate,Q3 FY26,0.0,246,improving,0.85,0.82,0.0,0.0,0.0,0
25,HONASA,Honasa Consumer Ltd.,0.4175,0.425,-0.0075,-0.0075,Reliable change,Watch,,6,3,Moderate,Q3 FY26,0.0,367,improving,0.84,0.83,0.0,0.0,0.0,0
26,LINDEINDIA,Linde India Ltd.,0.4175,0.415,0.0025,+0.0025,Reliable change,Established,,6,3,Moderate,Q3 FY26,0.195,246,improving,0.83,0.84,0.0,0.0,0.0,1
27,NAUKRI,Info Edge (India) Ltd.,0.4175,0.42,-0.0025,-0.0025,Reliable change,Established,,6,4,Moderate,Q3 FY26,0.1875,331,improving,0.78,0.89,0.0,0.0,0.0,1
28,TATAINVEST,Tata Investment Corporation Ltd.,0.4175,0.19,0.2275,+0.2275,Reliable change,Building,,5,2,Moderate,Q3 FY26,0.0,18,improving,0.85,0.82,0.0,0.0,0.0,0
29,GVT&D,GE Vernova T&D India Ltd.,0.415,0.4,0.015,+0.0150,Reliable change,Established,,9,6,High,Q3 FY26,0.39,146,improving,0.83,0.83,0.0,0.0,0.0,3
30,MUTHOOTFIN,Muthoot Finance Ltd.,0.415,0.4,0.015,+0.0150,Reliable change,Established,,9,6,High,Q3 FY26,0.39,146,improving,0.83,0.83,0.0,0.0,0.0,3
31,WAAREEENER,Waaree Energies Ltd.,0.415,0.405,0.01,+0.0100,Reliable change,Established,,9,6,High,Q3 FY26,0.385,178,improving,0.85,0.81,0.0,0.0,0.0,3
32,IKS,Inventurus Knowledge Solutions Ltd.,0.415,0.405,0.01,+0.0100,Reliable change,Established,,8,5,High,Q3 FY26,0.3925,178,improving,0.83,0.83,0.0,0.0,0.0,2
33,PIRAMALFIN,Piramal Finance Ltd.,0.415,0.395,0.02,+0.0200,Reliable change,Established,,8,6,High,Q3 FY26,0.39,139,improving,0.81,0.85,0.0,0.0,0.0,3
34,JAINREC,Jain Resource Recycling Ltd.,0.415,0.4025,0.0125,+0.0125,Reliable change,Building,,6,3,Moderate,Q3 FY26,0.0,159,improving,0.88,0.78,0.0,0.0,0.0,0
35,RITES,RITES Ltd.,0.415,0.43,-0.015,-0.0150,Reliable change,Watch,,5,2,Moderate,Q3 FY26,0.0,389,improving,0.8,0.86,0.0,0.0,0.0,0
36,CGCL,Capri Global Capital Ltd.,0.4125,0.4025,0.01,+0.0100,Reliable change,Established,,9,6,High,Q3 FY26,0.39,178,improving,0.83,0.82,0.0,0.0,0.0,3
37,GRSE,Garden Reach Shipbuilders & Engineers Ltd.,0.4125,0.3975,0.015,+0.0150,Reliable change,Established,,9,6,High,Q3 FY26,0.38,146,improving,0.84,0.81,0.0,0.0,0.0,3
38,NAVINFLUOR,Navin Fluorine International Ltd.,0.4125,0.4025,0.01,+0.0100,Reliable change,Established,,9,6,High,Q3 FY26,0.39,178,improving,0.83,0.82,0.0,0.0,0.0,3
39,CRAFTSMAN,Craftsman Automation Ltd.,0.4125,0.3875,0.025,+0.0250,Reliable change,Established,,8,5,High,Q3 FY26,0.185,134,improving,0.83,0.82,0.0,0.0,0.0,2
40,POLYCAB,Polycab India Ltd.,0.4125,0.4025,0.01,+0.0100,Reliable change,Established,,7,5,High,Q3 FY26,0.38,178,improving,0.83,0.82,0.0,0.0,0.0,3
41,MCX,Multi Commodity Exchange of India Ltd.,0.41,0.38,0.03,+0.0300,Reliable change,Established,,9,6,High,Q3 FY26,0.39,131,improving,0.83,0.81,0.0,0.0,0.0,3
