company_id,symbol,company_name,period,thesis_id,bms,state,evidence_count,earnings,economics,execution,balance_sheet,management_delivery
1,360ONE,360 ONE WAM Ltd.,Q1 FY26,1,-0.195,mixed,1,0.0,-0.78,0.0,0.0,0.0
2,3MINDIA,3M India Ltd.,Q1 FY26,2,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
3,AADHARHFC,Aadhar Housing Finance Ltd.,Q1 FY26,3,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
4,AARTIIND,Aarti Industries Ltd.,Q1 FY26,4,-0.3875,mixed,2,-0.79,-0.76,0.0,0.0,0.0
5,AAVAS,Aavas Financiers Ltd.,Q1 FY26,5,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
6,ABB,ABB India Ltd.,Q1 FY26,6,-0.3825,mixed,2,-0.75,-0.78,0.0,0.0,0.0
7,ABBOTINDIA,Abbott India Ltd.,Q1 FY26,7,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
8,ABCAPITAL,Aditya Birla Capital Ltd.,Q1 FY26,8,0.0,mixed,3,0.78,-0.78,0.0,0.0,0.0
9,ABDL,Allied Blenders and Distillers Ltd.,Q1 FY26,9,0.19,mixed,2,0.76,0.0,0.0,0.0,0.0
10,ABFRL,Aditya Birla Fashion and Retail Ltd.,Q1 FY26,10,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
11,ABLBL,Aditya Birla Lifestyle Brands Ltd.,Q1 FY26,11,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
12,ABREL,Aditya Birla Real Estate Ltd.,Q1 FY26,12,-0.39,mixed,3,-0.78,-0.78,0.0,0.0,0.0
13,ABSLAMC,Aditya Birla Sun Life AMC Ltd.,Q1 FY26,13,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
14,ACC,ACC Ltd.,Q1 FY26,14,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
15,ACE,Action Construction Equipment Ltd.,Q1 FY26,15,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
16,ACMESOLAR,ACME Solar Holdings Ltd.,Q1 FY26,16,0.195,mixed,2,0.78,0.0,0.0,0.0,0.0
17,ACUTAAS,Acutaas Chemicals Ltd.,Q1 FY26,17,0.1975,mixed,1,0.79,0.0,0.0,0.0,0.0
18,ADANIENSOL,Adani Energy Solutions Ltd.,Q1 FY26,18,0.0,mixed,3,0.76,-0.76,0.0,0.0,0.0
19,ADANIENT,Adani Enterprises Ltd.,Q1 FY26,19,-0.1975,mixed,1,-0.79,0.0,0.0,0.0,0.0
20,ADANIGREEN,Adani Green Energy Ltd.,Q1 FY26,20,-0.005,mixed,3,0.76,-0.78,0.0,0.0,0.0
21,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Q1 FY26,21,-0.005,mixed,2,0.74,-0.76,0.0,0.0,0.0
22,ADANIPOWER,Adani Power Ltd.,Q1 FY26,22,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
23,AEGISLOG,Aegis Logistics Ltd.,Q1 FY26,23,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
24,AEGISVOPAK,Aegis Vopak Terminals Ltd.,Q1 FY26,24,0.195,mixed,2,0.78,0.0,0.0,0.0,0.0
25,AFCONS,Afcons Infrastructure Ltd.,Q1 FY26,25,0.1975,mixed,1,0.79,0.0,0.0,0.0,0.0
26,AFFLE,Affle 3i Ltd.,Q1 FY26,26,0.3775,mixed,2,0.75,0.76,0.0,0.0,0.0
27,AIAENG,AIA Engineering Ltd.,Q1 FY26,27,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
28,AIIL,Authum Investment & Infrastructure Ltd.,Q1 FY26,28,0.195,mixed,1,0.0,0.78,0.0,0.0,0.0
29,AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Q1 FY26,29,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
30,ALKEM,Alkem Laboratories Ltd.,Q1 FY26,30,0.1875,mixed,1,0.75,0.0,0.0,0.0,0.0
31,AMBER,Amber Enterprises India Ltd.,Q1 FY26,31,0.195,mixed,2,0.78,0.0,0.0,0.0,0.0
32,AMBUJACEM,Ambuja Cements Ltd.,Q1 FY26,32,0.375,mixed,3,0.74,0.76,0.0,0.0,0.0
33,ANANDRATHI,Anand Rathi Wealth Ltd.,Q1 FY26,33,0.3825,mixed,2,0.75,0.78,0.0,0.0,0.0
34,ANANTRAJ,Anant Raj Ltd.,Q1 FY26,34,0.38,mixed,3,0.76,0.76,0.0,0.0,0.0
35,ANGELONE,Angel One Ltd.,Q1 FY26,35,-0.3925,mixed,2,-0.79,-0.78,0.0,0.0,0.0
36,ANTHEM,Anthem Biosciences Ltd.,Q1 FY26,36,0.195,mixed,2,0.78,0.0,0.0,0.0,0.0
37,ANURAS,Anupam Rasayan India Ltd.,Q1 FY26,37,0.39,mixed,3,0.78,0.78,0.0,0.0,0.0
38,APARINDS,Apar Industries Ltd.,Q1 FY26,38,0.185,mixed,2,0.74,0.0,0.0,0.0,0.0
39,APLAPOLLO,APL Apollo Tubes Ltd.,Q1 FY26,39,0.1875,mixed,1,0.75,0.0,0.0,0.0,0.0
40,APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Q1 FY26,40,0.1975,mixed,1,0.79,0.0,0.0,0.0,0.0
41,APOLLOTYRE,Apollo Tyres Ltd.,Q1 FY26,41,-0.1975,mixed,1,-0.79,0.0,0.0,0.0,0.0
42,APTUS,Aptus Value Housing Finance India Ltd.,Q1 FY26,42,0.1875,mixed,1,0.75,0.0,0.0,0.0,0.0
43,ARE&M,Amara Raja Energy & Mobility Ltd.,Q1 FY26,43,-0.1875,mixed,1,-0.75,0.0,0.0,0.0,0.0
44,ASAHIINDIA,Asahi India Glass Ltd.,Q1 FY26,44,-0.1875,mixed,1,-0.75,0.0,0.0,0.0,0.0
45,ASHOKLEY,Ashok Leyland Ltd.,Q1 FY26,45,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
46,ASIANPAINT,Asian Paints Ltd.,Q1 FY26,46,0.0,mixed,0,0.0,0.0,0.0,0.0,0.0
